Timestamp,Distance,Fill_Percentage,Status,Alert
2026-06-11 17:52:53.593921,1,98.0,FULL,YES
2026-06-11 17:52:58.597617,4,92.0,FULL,YES
2026-06-11 17:53:03.600242,12,76.0,NEARLY FULL,NO
2026-06-11 18:00:29.261622,BIN-001,4,92.0,FULL,YES
2026-06-11 18:00:29.267970,BIN-002,19,62.0,HALF FULL,NO
2026-06-11 18:00:29.270270,BIN-003,46,8.0,EMPTY,NO
2026-06-11 18:00:29.271733,BIN-004,49,2.0,EMPTY,NO
2026-06-11 18:00:31.273486,BIN-001,15,70.0,NEARLY FULL,NO
2026-06-11 18:00:31.276084,BIN-002,10,80.0,NEARLY FULL,NO
2026-06-11 18:00:31.278382,BIN-003,27,46.0,HALF FULL,NO
2026-06-11 18:00:31.280247,BIN-004,13,74.0,NEARLY FULL,NO
2026-06-11 18:00:33.282747,BIN-001,29,42.0,HALF FULL,NO
2026-06-11 18:00:33.285969,BIN-002,49,2.0,EMPTY,NO
2026-06-11 18:00:33.288661,BIN-003,33,34.0,HALF FULL,NO
2026-06-11 18:00:33.291050,BIN-004,38,24.0,EMPTY,NO
2026-06-11 18:00:35.293719,BIN-001,43,14.0,EMPTY,NO
2026-06-11 18:00:35.296395,BIN-002,48,4.0,EMPTY,NO
2026-06-11 18:00:35.299116,BIN-003,28,44.0,HALF FULL,NO
2026-06-11 18:00:35.302108,BIN-004,21,58.0,HALF FULL,NO
2026-06-11 18:00:37.304722,BIN-001,25,50.0,HALF FULL,NO
2026-06-11 18:00:37.307493,BIN-002,21,58.0,HALF FULL,NO
2026-06-11 18:00:37.309662,BIN-003,23,54.0,HALF FULL,NO
2026-06-11 18:00:37.311164,BIN-004,14,72.0,NEARLY FULL,NO
2026-06-11 18:00:39.313631,BIN-001,22,56.0,HALF FULL,NO
2026-06-11 18:00:39.315999,BIN-002,36,28.0,EMPTY,NO
2026-06-11 18:00:39.317775,BIN-003,31,38.0,HALF FULL,NO
2026-06-11 18:00:39.319312,BIN-004,11,78.0,NEARLY FULL,NO
